upc,product_description,commodity,brand,product_size
111112360,VINCENT S ORIG MARINARA S,pasta sauce,Vincent's,25 OZ
566300023,PINE MOUNTAIN SYRUP,syrups,Pine Mountain,40 OZ
566300028,MILLER CANE SYRUP,syrups,Miller,19 OZ
566300029,MILLER CANE SYRUP,syrups,Miller,12 OZ
566300035,PINE MOUNTAIN SYRUP,syrups,Pine Mountain,19 OZ
601011292,BARILLA MARINARA PSTA SCE,pasta sauce,Barilla,26    OZ
601011293,BARILLA SWT PEPPER/GARLIC,pasta sauce,Barilla,26 OUNCE
601011294,BARILLA ARRABBIATA SPCY P,pasta sauce,Barilla,26 OZ
601011295,BARILLA\BL GRN OLIVE SCE,pasta sauce,Barilla,26 OZ
601011296,BARILLA BASILICO SAUCE,pasta sauce,Barilla,26 OZ
601011297,BARILLA CHAMAPNOLA SAUCE,pasta sauce,Barilla,26 OZ
601011301,BARILLA LASAG&CASS SAUCE,pasta sauce,Barilla,26 OZ
601011588,BARILLA BOSCAIOLA SAUCE,pasta sauce,Barilla,26 OZ
789310100,ELENAS BREAD DIPPING SCE,pasta sauce,Elena's,16 OZ
789310101,ELENAS BASIL&GARLIC SAUCE,pasta sauce,Elena's,16 OZ
789310106,ELENA SEMPLICE PMODORO,pasta sauce,Elena's,17 OZ
789310108,ELENAS FORMAGGIO SAUCE,pasta sauce,Elena's,16 OZ
789310110,ELENAS AGLIO ARROSTITIO S,pasta sauce,Elena's,16 OZ
789310201,ELENAS BASILICATA SAUCE,pasta sauce,Elena's,26.5 OZ
789312112,ELENAS QTRO A/H PSTA W/SC,pasta,Elena's,12 OZ
789316104,ELENAS TRE RNBW LNG PASTA,pasta,Elena's,12 OZ
923100001,BOVES MARINARA PSTA SCE,pasta sauce,Boves,26 OZ
923100002,BOVES RSTD GRL SCE 26 OZ,pasta sauce,Boves,KH# 71916
923100003,BOVES CHNTI MSHR PSTA SCE,pasta sauce,Boves,26 OZ
923100004,BOVES RMNO PMDRA PSTA SCE,pasta sauce,Boves,26 OZ
923100005,BOVES VODKA PSTA SAUCE,pasta sauce,Boves,26 OZ
923100006,BOVES ROASTED PEPPER SAUC,pasta sauce,Boves,26 OZ
1112600710,FASTSHAKE PANCAKE MIX BTR,pancake mixes,Fastshake,5 OZ
1112600715,FASTSHAKE BUTTERMILK FMLY,pancake mixes,Fastshake,10.5 OZ
1112600720,FASTSHAKE BLUEBERRY,pancake mixes,Fastshake,5 OZ
